Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCB54,OUT045,2039.1855
NCF31,OUT035,2444.1216
FDJ08,OUT027,4630.678
NCC07,OUT017,1650.8323
NCD19,OUT027,1572.7394
FDL46,OUT049,2083.4983
FDM20,OUT045,4040.1294
NCI06,OUT010,542.12805
DRM11,OUT035,4401.7686
NCH07,OUT018,2414.2683
FDS23,OUT013,2298.4963
FDO49,OUT018,655.3406
FDS35,OUT049,1071.8452
DRK39,OUT045,1302.3113
DRI39,OUT049,808.7221
FDV04,OUT017,2407.2695
NCN14,OUT035,3340.0955
FDH08,OUT013,4244.946
FDS20,OUT046,3332.8586
FDV40,OUT049,1084.0398
FDZ48,OUT010,306.55432
FDS24,OUT027,2344.9275
FDK44,OUT049,2772.2546
FDS48,OUT045,2497.8784
FDK26,OUT010,542.42303
FDD23,OUT045,3234.4807
NCH54,OUT017,2563.7417
NCP14,OUT010,329.65997
FDM60,OUT010,235.9793
FDV24,OUT017,2483.8848
FDH08,OUT018,3006.5735
FDS12,OUT027,2713.365
FDR39,OUT027,4846.37
FDP12,OUT027,874.015
DRF60,OUT027,5981.2124
FDC09,OUT035,1767.1823
FDF50,OUT018,3038.9834
FDG28,OUT035,3859.4373
NCE19,OUT017,904.54266
NCM53,OUT010,310.3929
NCN18,OUT049,1798.4032
FDF32,OUT035,3145.1692
FDF11,OUT013,4047.4453
DRI59,OUT049,3799.9055
NCG54,OUT035,2578.8503
FDM44,OUT046,1707.9594
FDT57,OUT018,3255.202
FDV24,OUT046,2400.9663
FDI50,OUT019,808.2631
FDS09,OUT035,780.3411
NCC31,OUT027,3942.537
FDQ07,OUT019,720.2535
FDC22,OUT017,3212.328
FDZ56,OUT046,2790.0247
FDZ40,OUT019,237.52682
FDS46,OUT027,2782.6323
DRD24,OUT045,2012.628
FDV45,OUT017,3177.079
FDL26,OUT045,2424.6736
FDA56,OUT018,1703.6107
FDN27,OUT046,1935.7354
FDM20,OUT049,3885.6384
FDO16,OUT017,1507.8181
FDL03,OUT035,3124.4822
FDE58,OUT046,1988.148
FDI02,OUT027,3056.3372
NCC55,OUT019,281.1286
FDR03,OUT018,3290.1624
FDB14,OUT017,1569.0737
FDR45,OUT013,3928.0137
NCN07,OUT017,2054.2021
FDM51,OUT019,344.11487
FDT52,OUT027,5676.8525
FDL26,OUT046,2358.0764
NCZ42,OUT046,3960.9934
DRI47,OUT019,565.1224
FDW40,OUT013,2350.9878
FDN34,OUT046,2846.1167
FDS01,OUT035,3023.5793
NCG55,OUT045,1863.2582
FDC11,OUT035,1379.4357
FDX35,OUT018,3186.0852
NCB06,OUT046,2461.0674
FDR09,OUT019,855.0634
FDC53,OUT017,1575.675
FDY45,OUT013,5017.17
FDA22,OUT010,610.7634
FDE02,OUT035,1576.8611
FDW21,OUT045,1657.3472
FDV34,OUT046,1170.605
FDS59,OUT049,1695.305
NCW17,OUT017,2105.361
NCK54,OUT046,1960.241
FDG17,OUT019,694.2449
FDG35,OUT017,3257.5295
FDD08,OUT010,239.46916
NCO07,OUT017,3965.4814
FDJ10,OUT010,334.21826
FDW36,OUT017,1587.6163
FDW21,OUT010,315.4462
FDY19,OUT017,1869.8031
DRE03,OUT013,697.8241
NCC55,OUT049,636.2437
FDH52,OUT010,267.08453
FDO09,OUT017,5164.388
FDU43,OUT045,3825.3901
FDX09,OUT010,618.405
FDH40,OUT019,442.3481
FDW58,OUT017,1730.1472
FDC47,OUT017,4032.3938
NCR41,OUT035,1584.213
DRG49,OUT035,4060.7148
FDC52,OUT027,3584.9812
FDY13,OUT046,1133.5845
FDY35,OUT013,694.0929
FDI35,OUT017,3634.0928
NCU18,OUT049,1950.5277
FDY33,OUT018,2414.2683
FDC15,OUT027,3470.9329
FDU01,OUT049,3336.7693
NCU42,OUT046,2840.6057
NCV29,OUT018,2628.8733
NCY30,OUT017,3469.0378
FDQ46,OUT049,1725.7599
FDG58,OUT027,3661.2131
FDK33,OUT017,3841.962
NCD07,OUT045,1570.4554
NCX29,OUT027,3771.7178
NCT42,OUT013,2316.335
DRN59,OUT035,786.0839
FDI44,OUT035,1251.072
FDA45,OUT049,2756.1206
FDP31,OUT045,951.87366
FDY01,OUT046,1768.7998
FDT09,OUT018,1780.676
DRH03,OUT027,2400.6729
FDA36,OUT018,2790.679
NCF31,OUT017,2458.4985
FDG14,OUT049,2447.3628
FDG28,OUT027,5809.0654
FDU14,OUT049,4268.237
FDY47,OUT019,592.2996
FDI56,OUT049,1276.3522
DRD01,OUT013,806.205
FDM22,OUT046,902.7062
FDH33,OUT013,582.6206
DRZ24,OUT013,1994.3495
NCQ38,OUT046,1766.8475
FDO16,OUT027,2217.0112
FDU07,OUT027,3726.061
NCB07,OUT013,2986.8533
FDU48,OUT045,1805.3237
NCM43,OUT045,2670.777
FDR31,OUT010,648.1534
DRK49,OUT018,493.3685
NCI30,OUT010,722.651
DRD60,OUT017,2908.9883
NCG19,OUT046,3036.0637
FDH12,OUT035,1655.6938
FDM32,OUT035,1508.9315
FDM27,OUT035,2445.2537
NCU53,OUT027,4335.133
NCQ18,OUT046,1582.5131
FDS10,OUT013,2664.6492
FDB33,OUT027,4184.7314
FDI12,OUT013,1303.3643
NCW42,OUT013,4126.55
NCC06,OUT018,1803.5056
FDW02,OUT017,2164.5562
NCD43,OUT017,1728.2283
FDM57,OUT018,1143.1567
FDA58,OUT017,3780.768
FDK56,OUT046,3126.1738
FDP52,OUT045,4021.3667
FDW20,OUT018,1732.6144
FDS52,OUT049,1655.3159
NCT29,OUT018,1734.2533
NCL54,OUT013,2828.448
FDC05,OUT045,2858.62
FDF34,OUT035,3299.0022
FDP03,OUT027,2944.424
FDD32,OUT010,455.36697
FDZ10,OUT045,1965.7538
FDZ40,OUT035,934.1355
FDD51,OUT018,471.36642
NCY30,OUT019,557.3299
FDP58,OUT017,3487.4124
FDV49,OUT017,4420.825
FDY24,OUT019,149.2312
NCO55,OUT017,1600.9392
FDR13,OUT017,1859.4904
FDS51,OUT017,1024.9044
FDP26,OUT045,1593.1862
NCB54,OUT027,3290.354
FDF32,OUT017,3299.4773
FDN31,OUT018,2762.9795
DRM48,OUT017,632.7957
FDN20,OUT049,3025.5417
DRL01,OUT046,3124.6895
FDV56,OUT049,1635.3748
DRH13,OUT027,2609.6484
FDA03,OUT017,2535.5686
FDF47,OUT027,5112.8125
FDX32,OUT046,2395.4119
FDX57,OUT049,1487.6202
NCA30,OUT045,3071.5286
FDO49,OUT013,691.7169
FDL04,OUT019,265.95715
DRM48,OUT035,657.1333
FDR16,OUT013,3180.2727
NCC19,OUT018,3177.3806
NCE42,OUT045,3627.7568
FDY24,OUT017,936.50385
FDH19,OUT049,2438.86
FDJ46,OUT013,2753.8936
FDN45,OUT010,482.15625
FDY08,OUT035,1940.8892
FDZ37,OUT035,1388.0287
NCT30,OUT045,764.3668
DRY23,OUT018,511.68027
NCZ30,OUT018,1808.518
FDC44,OUT018,1804.2805
FDB45,OUT035,1699.0507
FDY04,OUT013,2301.1975
FDM27,OUT046,2585.318
FDZ43,OUT017,4139.5933
FDT39,OUT019,428.1725
NCC06,OUT019,416.11783
FDL15,OUT027,3725.7693
FDL57,OUT017,4343.764
FDU08,OUT046,1380.4106
FDK40,OUT017,4788.2236
FDQ12,OUT010,1006.599
FDS48,OUT017,2430.7998
FDP09,OUT045,3600.5168
FDW21,OUT049,1565.5566
FDY25,OUT035,3158.3735
DRE13,OUT017,1404.1562
FDV43,OUT019,165.16483
FDD22,OUT045,1763.1459
FDM46,OUT019,356.16672
NCO30,OUT010,865.8492
FDM25,OUT046,2651.619
NCN41,OUT049,2020.7019
FDU24,OUT045,1466.46
FDZ50,OUT046,3160.4026
FDP45,OUT013,4090.129
NCM54,OUT045,1950.248
FDW10,OUT019,545.7783
FDP20,OUT017,2033.923
FDK32,OUT046,2391.2085
FDN52,OUT049,1167.7836
FDM58,OUT045,1713.4268
FDZ46,OUT027,2865.7942
NCA18,OUT018,1579.0435
FDD35,OUT046,2103.1875
NCK31,OUT035,747.76544
FDI40,OUT027,2841.431
FDT50,OUT019,129.54385
NCT06,OUT046,2283.566
FDT31,OUT035,2841.6484
FDT45,OUT049,820.83405
FDT13,OUT045,2961.0916
FDO50,OUT045,1296.2482
NCU18,OUT010,352.72232
NCR54,OUT049,3226.185
NCO18,OUT018,2613.0154
FDU09,OUT045,878.56006
FDT13,OUT018,2744.3608
FDE09,OUT046,1977.6055
NCK53,OUT019,286.47632
FDG45,OUT049,3573.585
DRH15,OUT035,724.9166
FDO21,OUT019,736.48456
FDD14,OUT027,5116.0635
FDC09,OUT046,1708.3972
FDH45,OUT027,1035.18
FDV32,OUT046,1106.3922
FDG12,OUT035,1849.4656
FDS32,OUT013,2121.563
NCL55,OUT018,3421.9917
DRE01,OUT035,3824.3005
DRE15,OUT049,1346.5841
NCL42,OUT045,3940.0186
FDP31,OUT013,912.58716
FDN33,OUT018,1285.3932
FDZ59,OUT046,2571.385
FDE45,OUT010,470.2681
FDJ07,OUT013,1910.4928
FDQ45,OUT018,2605.3467
FDM33,OUT027,5295.398
FDO15,OUT010,266.13638
FDM46,OUT013,1501.6152
FDR03,OUT045,3391.63
FDY49,OUT018,2636.2961
FDQ60,OUT045,1763.1168
FDW10,OUT049,3214.9521
FDO51,OUT049,666.0853
FDJ40,OUT018,1418.1547
FDS20,OUT018,2871.342
FDU45,OUT013,1916.7281
FDV02,OUT035,2551.117
FDN09,OUT046,4199.656
NCM55,OUT027,5066.089
FDN23,OUT018,2173.2722
FDY31,OUT010,645.92194
FDW03,OUT010,306.6067
FDD14,OUT046,3126.221
FDV23,OUT017,2074.852
DRI03,OUT045,2742.613
FDN13,OUT035,1586.0917
FDF45,OUT027,1488.6719
FDU46,OUT035,1363.443
FDB57,OUT049,3902.4678
FDV12,OUT049,1672.691
FDQ58,OUT013,2299.34
NCA18,OUT017,1733.8835
FDH52,OUT049,949.9968
FDM24,OUT018,2365.386
NCP43,OUT027,4772.4165
NCO18,OUT019,218.15996
FDM32,OUT017,1379.3931
NCL07,OUT017,659.872
FDK03,OUT013,4315.2725
FDP59,OUT017,1657.2988
FDQ24,OUT049,4128.809
FDQ16,OUT018,1399.2104
FDU44,OUT013,2237.817
FDH28,OUT010,110.574844
FDV28,OUT019,49.235855
FDM22,OUT045,901.5623
FDR56,OUT046,3172.8625
FDV39,OUT049,3026.978
FDU37,OUT019,491.81534
FDQ11,OUT010,1553.5544
FDX02,OUT045,3752.109
NCS42,OUT018,1251.7355
FDY57,OUT027,2754.3643
FDB21,OUT049,3630.5525
FDE28,OUT017,3935.9246
FDQ55,OUT017,2146.642
FDA48,OUT049,3736.3362
FDZ19,OUT045,2753.6238
NCC43,OUT045,3505.7393
NCV18,OUT046,1564.2168
NCA42,OUT018,2515.3276
FDY45,OUT046,3632.8408
NCC30,OUT045,3058.3525
FDM57,OUT013,1303.3643
FDL09,OUT010,432.96524
FDB09,OUT027,2895.9631
FDT44,OUT035,1775.411
NCT06,OUT027,4083.273
FDX26,OUT049,3328.8403
FDK32,OUT013,2374.4734
DRA12,OUT046,2222.6113
FDO46,OUT010,582.18005
FDE52,OUT013,1280.4408
NCH42,OUT045,4142.5054
FDV08,OUT035,695.424
FDB47,OUT018,3138.0989
FDC28,OUT010,295.17374
FDD22,OUT046,1795.2189
FDS07,OUT027,2954.2844
DRI13,OUT045,3395.8694
FDG32,OUT018,3204.4338
FDU14,OUT017,4227.6177
FDD28,OUT019,177.36333
NCP41,OUT017,1700.7585
FDS08,OUT049,2682.47
FDX47,OUT045,2566.9626
FDC53,OUT019,354.94043
FDQ19,OUT035,3852.4863
FDL14,OUT045,2429.992
FDM33,OUT019,719.4856
FDA51,OUT045,1918.7639
FDZ27,OUT018,674.2998
FDT04,OUT046,680.9462
DRC13,OUT049,2055.738
FDR16,OUT027,4668.953
FDQ03,OUT027,6263.5015
FDE38,OUT035,2677.1782
DRH23,OUT027,1537.0398
FDT11,OUT019,707.2479
FDD09,OUT035,3080.1116
FDR40,OUT045,1466.4894
FDX07,OUT017,3173.3079
FDR07,OUT035,1628.6962
FDA51,OUT017,1896.1709
FDT59,OUT019,1050.0468
FDF20,OUT017,3115.6077
FDR13,OUT045,1862.1183
FDY26,OUT049,4239.024
FDW04,OUT017,1999.1542
FDK52,OUT017,4039.9624
FDN60,OUT049,2567.569
FDM09,OUT019,613.25195
FDP46,OUT049,1275.7839
FDB50,OUT019,268.98758
NCQ29,OUT049,3649.9792
FDP16,OUT027,6409.004
FDX33,OUT018,2448.6172
FDP07,OUT010,516.0638
FDN22,OUT046,3287.6653
FDF39,OUT049,2961.9048
FDS21,OUT017,983.6539
NCM42,OUT013,1708.7651
FDK50,OUT019,805.81793
DRF13,OUT027,3739.2642
FDH35,OUT018,2401.3247
FDP60,OUT018,1338.6562
DRJ49,OUT027,3301.088
NCT42,OUT019,464.00763
FDE38,OUT049,2650.1184
FDI04,OUT049,2984.9497
NCH54,OUT045,2511.6338
FDT56,OUT049,967.14813
DRD15,OUT018,3188.562
FDV58,OUT013,3143.518
FDP21,OUT049,3268.1516
FDH05,OUT013,3074.6858
FDR10,OUT027,4041.155
NCP06,OUT045,2372.9124
FDF33,OUT049,1593.9178
DRK37,OUT013,3009.702
DRH49,OUT045,1298.1555
FDT58,OUT013,2447.5676
FDD41,OUT018,1482.7583
FDP40,OUT018,1451.7417
FDM51,OUT027,2630.4258
FDO45,OUT010,398.51434
FDW33,OUT010,265.4993
FDY24,OUT045,876.64014
FDB10,OUT010,771.71674
FDM40,OUT035,2036.4802
NCI06,OUT017,2896.1704
FDW12,OUT019,554.6856
FDX48,OUT027,3802.6877
NCW05,OUT027,2587.548
FDX27,OUT017,1564.0059
DRM37,OUT045,2858.62
FDA38,OUT045,3944.412
FDR36,OUT046,561.3462
FDZ45,OUT046,3130.5405
FDG05,OUT017,2565.1404
FDK28,OUT013,4357.02
FDV47,OUT045,1348.9825
FDN21,OUT045,2511.6338
FDP20,OUT027,3256.7217
FDI35,OUT045,3434.6357
DRY23,OUT013,653.1465
FDA56,OUT017,2181.0242
FDB09,OUT013,1670.6138
NCO26,OUT027,2828.1091
FDQ49,OUT018,2358.512
FDI52,OUT027,2908.3042
FDZ44,OUT027,2832.415
FDZ09,OUT018,2364.7644
FDY03,OUT049,1763.1204
NCG42,OUT017,2211.5383
DRI13,OUT027,5163.6895
FDQ32,OUT013,2156.6118
FDW16,OUT035,1327.0109
FDU27,OUT046,799.4885
FDR28,OUT010,766.5794
FDQ49,OUT010,687.6101
FDS37,OUT046,1987.839
FDW26,OUT018,3571.1716
FDX12,OUT018,3230.1045
NCP06,OUT013,2288.1816
FDW45,OUT010,587.4594
NCN30,OUT049,1445.9515
FDN24,OUT049,859.74945
NCL41,OUT027,867.90094
FDR02,OUT019,352.9249
FDD09,OUT010,584.8441
FDS33,OUT010,472.16702
FDU22,OUT045,1968.6195
FDI53,OUT013,2393.4937
DRH01,OUT049,2862.56
FDX32,OUT013,2260.6145
NCP30,OUT018,473.62286
FDB60,OUT045,2966.4607
FDB14,OUT049,1468.9873
NCP02,OUT035,891.19714
FDJ10,OUT017,1970.7684
FDG34,OUT046,1829.0646
NCB18,OUT017,1365.7363
FDM16,OUT049,1083.9215
FDW25,OUT018,1134.0526
FDB35,OUT010,312.97287
DRN11,OUT013,2190.8086
FDF41,OUT019,827.6198
FDH16,OUT045,1292.4272
NCQ50,OUT018,2731.031
DRH23,OUT018,741.81976
DRJ37,OUT013,2249.7156
DRJ24,OUT027,4877.599
FDY16,OUT035,3087.1978
FDQ27,OUT045,1663.373
FDZ33,OUT045,2405.0146
FDF29,OUT045,2071.164
FDA08,OUT049,2495.9434
FDG31,OUT046,1093.8167
FDE34,OUT019,825.205
NCR30,OUT027,1907.0116
FDV33,OUT035,4010.499
DRZ24,OUT018,1706.1956
NCL54,OUT035,2977.782
FDR12,OUT049,2917.6155
NCC54,OUT046,3280.1157
DRN59,OUT013,712.32166
FDX50,OUT019,280.80374
FDV31,OUT027,4429.5977
NCA29,OUT027,4617.4243
FDW60,OUT049,2746.9827
FDX08,OUT017,3468.9863
DRD49,OUT013,3461.9673
FDD33,OUT046,3417.7
FDW35,OUT013,634.6971
FDJ36,OUT017,1741.4857
FDV51,OUT035,2720.5986
FDW36,OUT046,1842.4443
FDH35,OUT046,2359.8645
NCS30,OUT027,2868.0166
FDN49,OUT017,604.1441
FDL08,OUT018,2993.3628
FDI09,OUT013,3528.6584
FDP19,OUT018,1822.6364
FDU21,OUT010,138.34895
NCP41,OUT045,1638.6184
FDY10,OUT013,1901.9307
FDP12,OUT018,466.5678
NCN26,OUT049,1923.2921
FDK44,OUT013,2900.4346
FDC28,OUT049,1600.9413
FDJ41,OUT027,6124.3345
NCT29,OUT035,2019.3765
NCH42,OUT019,838.5354
FDU60,OUT018,2211.1802
FDS02,OUT045,3167.8242
FDC51,OUT046,2173.1936
FDU03,OUT013,3095.9592
FDX39,OUT045,3572.3987
NCY05,OUT010,228.49411
NCL06,OUT027,5951.179
FDD32,OUT035,1237.8157
NCN41,OUT045,1933.9873
NCX53,OUT049,2168.9072
FDU57,OUT019,375.65686
FDQ23,OUT046,1765.5203
FDQ52,OUT045,4155.3535
FDC14,OUT045,668.8369
FDY09,OUT035,3019.2979
FDQ28,OUT045,2365.1353
FDV25,OUT046,3640.0952
FDJ07,OUT035,1995.5397
DRB25,OUT049,1668.1229
FDK52,OUT019,893.24896
FDY52,OUT027,1503.8857
FDB28,OUT046,2951.2627
FDT36,OUT035,639.13763
FDV25,OUT017,3957.2693
NCN07,OUT027,3281.906
FDC57,OUT017,3363.4053
FDQ03,OUT018,3110.0952
FDU23,OUT017,2759.1052
NCX41,OUT035,3292.8762
NCD06,OUT035,790.80096
FDW08,OUT045,1545.3418
NCU29,OUT017,2580.9792
NCE06,OUT013,2320.3923
FDV52,OUT010,197.68752
FDB02,OUT017,2906.2327
NCR18,OUT045,657.03864
FDK16,OUT049,1473.1527
NCQ29,OUT010,890.67645
FDZ01,OUT019,340.31476
FDW27,OUT035,2413.6538
FDD17,OUT018,2860.8755
FDW39,OUT013,2734.8066
DRH59,OUT045,1069.6599
FDS52,OUT013,1561.5697
FDU40,OUT027,5150.0146
NCF54,OUT013,2658.7625
FDH46,OUT045,1681.301
NCP14,OUT049,1694.1796
FDH50,OUT049,3398.3093
DRF15,OUT010,624.6029
FDV27,OUT027,2249.047
NCJ06,OUT049,2035.8323
FDN02,OUT018,3155.045
FDQ51,OUT049,793.3616
FDQ07,OUT017,4086.1821
FDS45,OUT049,1642.9081
NCJ06,OUT045,2009.8392
FDD36,OUT035,1954.8813
FDY25,OUT045,3430.836
FDU52,OUT046,2266.9294
DRK47,OUT017,4319.743
NCL30,OUT017,2090.8535
FDN22,OUT035,3817.9646
NCF30,OUT027,2896.0312
FDK03,OUT035,4344.8896
FDT45,OUT017,896.1015
NCC54,OUT027,5396.776
FDP08,OUT018,2690.6892
FDU44,OUT046,2440.0645
DRG39,OUT035,847.60583
FDU32,OUT049,2127.1252
FDY27,OUT049,3120.5364
NCP54,OUT013,1976.3196
NCZ41,OUT049,2006.6637
DRL49,OUT013,2126.3857
FDI05,OUT018,1098.1428
FDY56,OUT045,3998.1543
DRC13,OUT013,2036.4672
NCV29,OUT017,3042.08
FDR24,OUT049,1354.7646
FDZ34,OUT018,2530.5364
FDP37,OUT035,2001.4895
FDX08,OUT027,4888.53
FDS57,OUT045,2059.5635
NCG18,OUT049,1686.7699
FDK25,OUT018,2402.8586
FDH53,OUT049,1173.4736
DRI59,OUT018,3260.9917
FDA52,OUT046,2653.4695
FDT20,OUT010,243.87822
FDE36,OUT019,801.19763
FDI24,OUT017,3011.8682
FDB28,OUT018,3010.761
FDV11,OUT017,2954.4973
FDP01,OUT046,2266.9294
FDD34,OUT027,4173.247
FDJ50,OUT027,1421.0962
FDZ44,OUT013,1891.2102
DRO59,OUT035,1254.2502
DRB48,OUT045,672.8566
FDR21,OUT018,2688.8071
NCE42,OUT010,1135.6986
FDO23,OUT046,1505.1904
NCE30,OUT018,2899.8813
FDQ22,OUT035,663.7081
FDY01,OUT045,1802.9874
FDS08,OUT017,2764.3887
FDG28,OUT018,2690.435
FDQ51,OUT018,679.266
FDB05,OUT017,4370.2256
FDO56,OUT049,1873.4324
FDE02,OUT018,1226.1931
FDN45,OUT017,4001.1477
FDS09,OUT013,705.4484
NCA54,OUT018,2624.1707
FDP09,OUT010,664.5303
FDC53,OUT045,1554.0352
NCM55,OUT017,3258.2668
FDL09,OUT018,2112.1526
FDA11,OUT019,295.8961
FDA50,OUT045,1501.9753
FDC23,OUT017,3312.4167
FDE22,OUT049,2732.9211
FDD23,OUT046,3230.6736
NCA29,OUT049,3088.526
FDK38,OUT046,2345.9998
DRC13,OUT046,2078.1567
NCP43,OUT049,2990.1162
FDX28,OUT049,1635.1543
FDF08,OUT049,1297.7858
FDZ33,OUT046,2439.062
FDD10,OUT049,2733.7231
FDO58,OUT017,2848.1313
FDI50,OUT017,3999.9163
FDO58,OUT045,2597.7036
FDX08,OUT013,3159.1133
NCK17,OUT010,235.9793
FDF39,OUT035,4254.3315
FDU45,OUT010,365.8104
NCJ18,OUT018,1735.1847
DRC27,OUT019,562.7582
DRC25,OUT035,1397.7179
FDU59,OUT035,2590.8145
FDU28,OUT035,3184.036
NCP30,OUT046,663.56323
FDB39,OUT018,740.1782
FDE41,OUT013,1261.142
DRH11,OUT010,250.39948
FDA58,OUT045,3686.556
FDU50,OUT046,1877.607
FDM34,OUT013,2167.0903
FDM44,OUT027,2630.4258
FDR39,OUT045,2953.3477
FDM25,OUT045,2535.3733
FDQ49,OUT049,2373.3225
DRH25,OUT018,751.7362
FDM09,OUT027,4243.8984
FDL44,OUT019,663.4742
NCR42,OUT018,405.71616
DRL59,OUT046,896.5694
FDX43,OUT013,2571.561
DRK47,OUT010,943.3241
FDU48,OUT018,1758.0563
FDY12,OUT045,803.0221
NCN43,OUT018,1648.9677
NCM55,OUT018,2595.2236
FDQ21,OUT027,3058.1516
FDX13,OUT035,4075.7178
NCK30,OUT027,5321.54
FDG20,OUT049,2711.1287
DRG27,OUT017,680.7347
FDY14,OUT018,3797.7578
FDP59,OUT035,1687.2847
FDU60,OUT017,3127.2932
NCC18,OUT019,533.3991
DRJ39,OUT017,3911.518
FDS07,OUT049,1744.0111
FDM08,OUT027,5914.503
FDP51,OUT045,1950.8119
FDU16,OUT035,1576.9489
FDH12,OUT013,1725.7728
DRE48,OUT010,723.8063
NCL42,OUT027,6317.6333
FDR21,OUT045,2737.5981
NCW29,OUT035,2099.1296
FDO11,OUT013,4090.129
NCM31,OUT049,2095.1604
FDV35,OUT019,365.66818
FDF58,OUT017,991.2606
NCE43,OUT049,2623.7256
FDA02,OUT035,2655.2708
DRL37,OUT010,225.47797
FDR24,OUT018,1219.2291
FDW59,OUT049,1327.8866
FDS22,OUT049,657.61505
FDW24,OUT017,760.7166
FDU24,OUT035,1589.6688
FDA21,OUT027,5191.8145
FDH58,OUT027,3099.9407
FDW36,OUT018,1251.3553
FDI45,OUT027,4766.105
FDU01,OUT018,3087.0815
FDF35,OUT027,2649.6384
